type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,91697408-b406-4ddf-8fa4-7905b72cf720,00:32:29.443,"[42.6, 33.0]","[49.4, 12.9]",21.219095,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,18a3e469-5177-4d50-be91-98d566a716cb,00:32:33.040,"[50.8, 10.5]","[42.4, 20.1]",12.756175,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,73709b5a-8529-4142-9a81-cddd719fac85,00:32:35.014,"[45.4, 18.1]","[62.5, 9.3]",19.231485,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,a11c582f-0f46-4713-81a6-8868dc65ce33,00:32:37.282,"[64.3, 6.1]","[53.4, 13.7]",13.287965,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Nicolas Seiwald,1680a0bd-ac31-403f-924d-5eee7717133e,00:32:40.740,"[56.6, 18.7]","[66.1, 26.6]",12.355565,
Pass,RB Leipzig,Ikoma Loïs Openda,Right Center Forward,16275.0,Xaver Schlager,b6996bfd-2a1c-4520-910b-d517597257da,00:35:00.629,"[61.0, 40.1]","[35.8, 60.1]",32.17204,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Willi Orban,039cc8af-346f-489b-b35c-53783edb2ee7,00:35:03.718,"[36.2, 64.5]","[31.5, 36.6]",28.293108,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,d60170e0-33b6-4fb4-aadb-7a8e703dc468,00:35:05.509,"[33.7, 33.2]","[36.2, 14.1]",19.262918,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Nicolas Seiwald,18ffca5c-c0c5-4851-b367-ee88e0582bbd,00:35:07.489,"[36.8, 11.5]","[39.6, 40.0]",28.637213,
Pass,RB Leipzig,Nicolas Seiwald,Right Defensive Midfield,39460.0,Mohamed Simakan,da350c1a-df66-4e2d-afa4-b072e9dec141,00:35:08.824,"[39.8, 39.2]","[32.9, 54.5]",16.78392,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,1202991a-9ccb-4ed7-ab48-adc7a4a74891,00:35:14.792,"[63.7, 60.7]","[72.1, 75.8]",17.279179,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Ikoma Loïs Openda,1b4410f8-3bf2-4eb0-86e1-500ef19e2fa7,00:35:17.352,"[75.3, 75.0]","[94.4, 57.9]",25.636303,Incomplete
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Daniel Olmo Carvajal,310d40d2-f16f-4e4e-bb9f-8555ff575ba8,00:37:15.627,"[6.0, 43.6]","[30.7, 30.0]",28.19663,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,David Raum,af6abd23-cd58-4b7b-ba85-13a6aec5436d,00:37:17.071,"[31.5, 28.8]","[29.5, 8.9]",20.00025,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,a5245c3c-8aa3-4fc4-8d4b-0e8e86c69f8c,00:37:32.986,"[65.9, 0.1]","[49.0, 13.3]",21.444113,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Xaver Schlager,21c938b3-b534-440c-9353-0a009cf1c170,00:37:35.276,"[51.4, 17.7]","[51.8, 30.4]",12.706298,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Xavi Simons,c0208f39-0546-4241-b530-7f02bfaa644f,00:37:42.088,"[80.1, 41.4]","[92.4, 54.9]",18.263077,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Xavi Simons,090d5d76-b580-4a39-980d-befa5fa0e646,00:37:51.712,"[45.8, 52.5]","[65.5, 55.7]",19.958206,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Ikoma Loïs Openda,c8293e46-d3da-4590-b037-8976a0261afc,00:37:53.848,"[69.3, 54.9]","[95.2, 59.3]",26.271088,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Daniel Olmo Carvajal,956d5600-0ce5-4b11-880a-ef83c8ac548b,00:38:54.704,"[120.0, 80.0]","[115.4, 48.8]",31.53728,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,David Raum,8f5a37f8-7559-46a5-add4-f28cfa9a87a5,00:39:41.353,"[11.8, 36.6]","[31.5, 8.9]",33.990883,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,57ecef93-6e55-454c-a0d4-3fa7f6ab6206,00:39:46.741,"[36.4, 7.5]","[24.5, 18.5]",16.205246,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Xaver Schlager,9b56ed08-fce1-4681-9db1-c29b75361e94,00:39:50.647,"[28.1, 22.1]","[32.7, 35.0]",13.69562,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Willi Orban,6ba04af5-b4c5-4824-bbca-30f5d4443f3c,00:39:55.476,"[36.2, 35.4]","[33.1, 22.9]",12.878665,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Xaver Schlager,87bf7cdb-7bb0-4f08-bce1-b70a8f6229bf,00:39:58.536,"[34.9, 24.1]","[33.5, 45.6]",21.545532,
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Mohamed Simakan,27dd204d-c9c5-4342-86df-c69595557e1b,00:40:01.316,"[33.9, 50.1]","[31.7, 66.5]",16.546904,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,00d7b8cd-4bfd-4afb-a4b4-64029b0cd2e4,00:40:02.907,"[31.9, 69.9]","[44.2, 74.4]",13.097328,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Xavi Simons,e51d91a0-39ae-42d4-bf2c-ed6e5b3a5bf2,00:40:05.441,"[42.2, 74.4]","[62.5, 73.8]",20.308865,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Daniel Olmo Carvajal,b78fd6e0-72d1-47dd-b73a-220e5d09f89b,00:40:07.123,"[63.5, 73.6]","[69.3, 66.1]",9.481033,
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,Xavi Simons,9fe6b025-4cc2-466d-9267-8b05ffe817b9,00:40:11.083,"[70.9, 75.0]","[79.7, 76.8]",8.982204,
Pass,RB Leipzig,Xavi Simons,Right Midfield,39167.0,Benjamin Henrichs,edc97c17-a6e8-48df-ab2c-d03ad206bca7,00:40:14.303,"[78.9, 72.8]","[76.7, 68.9]",4.4777226,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Ikoma Loïs Openda,867e837c-847a-49ba-8731-cfc2ae955a3e,00:40:14.824,"[76.9, 66.5]","[89.4, 63.5]",12.85496,Incomplete
Pass,RB Leipzig,Xaver Schlager,Left Defensive Midfield,8769.0,Willi Orban,fd508289-2a0f-4a09-9942-89c394ad689b,00:40:21.304,"[66.5, 41.0]","[47.6, 41.8]",18.916924,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Timo Werner,0f592397-a28b-44c4-84a8-0cdec83411e0,00:40:22.743,"[47.6, 41.6]","[71.1, 19.9]",31.986559,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,9a798038-8119-4d17-89b9-d34ef7b74aa5,00:41:10.953,"[32.1, 10.1]","[43.8, 8.7]",11.783463,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,Timo Werner,ac1f9bef-6a0f-41e8-b504-aa1008686fb4,00:41:12.087,"[43.2, 9.4]","[58.4, 6.8]",15.420765,Incomplete
Pass,RB Leipzig,Jeremie Frimpong,Right Wing Back,32712.0,Granit Xhaka,12c615f7-fbd1-4328-9ba5-b3de74be232b,00:41:14.040,"[61.7, 73.3]","[62.7, 60.0]",13.337541,Incomplete
Pass,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,Xavi Simons,c3ae625c-1918-49ad-949a-19760809ed7b,00:41:15.797,"[57.4, 20.1]","[66.8, 27.8]",12.151132,Incomplete
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Ikoma Loïs Openda,99f4c4cd-bbd7-4fd0-a862-9260eda96a18,00:41:41.424,"[26.1, 80.0]","[30.8, 68.4]",12.515989,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,9d80155b-e803-4302-a438-d9882405f8b7,00:42:25.809,"[50.0, 73.2]","[40.6, 68.5]",10.50952,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Willi Orban,c63de0dd-eb63-4f39-ab46-dcd3c780614d,00:42:29.397,"[41.8, 63.7]","[41.8, 22.5]",41.2,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,d981cc53-fa57-4f09-8a88-f77f2afdd458,00:42:34.251,"[38.2, 11.5]","[42.6, 5.9]",7.1217976,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Willi Orban,30333bf0-6bb5-484f-8f9a-1a8a95db0358,00:42:38.961,"[43.4, 0.1]","[32.1, 19.3]",22.278465,
