,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
988,,,,,,,,,,,,,,,,,,3.476324,,,,,,,,,,,,1fd384f3-8ee7-4c69-b50f-3deee78ac884,3378,,,"[80.3, 16.8]",3895052,85,,,,-2.473137,,Right Foot,,,"[60.8, 1.4]",,Ground Pass,,24.847736,,,,,Junior Castello Lukeba,40185.0,,,,,,2,Regular Play,Fabio Carvalho,74659.0,Left Defensive Midfield,162,RB Leipzig,182,['71de3156-3fd1-4486-a738-780cce38f29e'],31,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:31.851,Pass,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71de3156-3fd1-4486-a738-780cce38f29e,3379,,,"[60.8, 1.4]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,['1fd384f3-8ee7-4c69-b50f-3deee78ac884'],35,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:35.327,Ball Receipt*,
2919,,,,,,"[49.7, 2.9]",,,,,,,,,,,,1.469258,,,,,,,,,,,,8aff73b4-9f85-4903-a0be-68fb6bd61d80,3380,,,"[60.8, 1.4]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,"['71de3156-3fd1-4486-a738-780cce38f29e', 'cecc20a7-c3e4-495d-bfe4-ecdf98e1195f']",35,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:35.327,Carry,
989,,,,,,,,,,,,,,,,,,1.798596,,,,,,,,,,,,cecc20a7-c3e4-495d-bfe4-ecdf98e1195f,3381,,,"[49.7, 2.9]",3895052,85,,,,2.3627303,,Right Foot,,,"[34.3, 18.1]",,Ground Pass,,21.63793,,,,,Janis Blaswich,15155.0,,,,,,2,Regular Play,Junior Castello Lukeba,40185.0,Left Center Back,162,RB Leipzig,182,['fa1a30d9-3ac8-47e9-8de9-14839d84d238'],36,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:36.797,Pass,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fa1a30d9-3ac8-47e9-8de9-14839d84d238,3382,,,"[34.3, 18.1]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Janis Blaswich,15155.0,Goalkeeper,162,RB Leipzig,182,['cecc20a7-c3e4-495d-bfe4-ecdf98e1195f'],38,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:38.595,Ball Receipt*,
2920,,,,,,"[33.6, 23.2]",,,,,,,,,,,,1.81818,,,,,,,,,,,,8db30c5d-91cf-406b-9b96-ccfdd223278f,3383,,,"[34.3, 18.1]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Janis Blaswich,15155.0,Goalkeeper,162,RB Leipzig,182,"['f96cbf41-4c32-4dac-bf9d-dde303c25897', 'fa1a30d9-3ac8-47e9-8de9-14839d84d238']",38,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:38.595,Carry,
990,,,,,,,,,,,,,,,,,,1.007083,,,,,,,,,,,,f96cbf41-4c32-4dac-bf9d-dde303c25897,3384,,,"[33.6, 23.2]",3895052,85,,,,1.2590789,,Right Foot,,,"[39.4, 41.2]",,Ground Pass,,18.911373,,,,,Mohamed Simakan,30360.0,,,,,,2,Regular Play,Janis Blaswich,15155.0,Goalkeeper,162,RB Leipzig,182,['db0e1c8d-bc26-4f68-a729-52ac708bf06c'],40,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:40.413,Pass,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,db0e1c8d-bc26-4f68-a729-52ac708bf06c,3385,,,"[39.4, 41.2]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,['f96cbf41-4c32-4dac-bf9d-dde303c25897'],41,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:41.420,Ball Receipt*,
2921,,,,,,"[41.3, 42.1]",,,,,,,,,,,,1.712767,,,,,,,,,,,,0c9bc11e-843b-472a-8e8e-e331533102fa,3386,,,"[39.4, 41.2]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,"['55c637fe-fdbc-46f1-b637-1d2792ab4738', 'db0e1c8d-bc26-4f68-a729-52ac708bf06c']",41,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:41.420,Carry,
991,,,,,,,,,,,,,,,,,,1.357574,,,,,,,,,,,,55c637fe-fdbc-46f1-b637-1d2792ab4738,3387,,,"[41.3, 42.1]",3895052,85,,,,-0.7078339,,Right Foot,,,"[62.1, 24.3]",,Ground Pass,,27.376633,,,,,Emil Peter Forsberg,5625.0,,,,,,2,Regular Play,Mohamed Simakan,30360.0,Center Back,162,RB Leipzig,182,['25c18e18-995f-46c4-a8a1-16217c9c77b7'],43,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:43.133,Pass,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25c18e18-995f-46c4-a8a1-16217c9c77b7,3388,,,"[62.1, 24.3]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Right Attacking Midfield,162,RB Leipzig,182,['55c637fe-fdbc-46f1-b637-1d2792ab4738'],44,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:44.491,Ball Receipt*,
2922,,,,,,"[70.2, 16.4]",,,,,,,,,,,,2.248815,,,,,,,,,,,,9569b196-9c46-4c97-a3e5-36583904ef2f,3389,,,"[62.1, 24.3]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Right Attacking Midfield,162,RB Leipzig,182,"['25c18e18-995f-46c4-a8a1-16217c9c77b7', 'ed606f57-102e-4ae9-af22-6ab1fb9245b8']",44,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:44.491,Carry,
992,,,,,,,,,,,,,,,,,,1.680693,,,,,,,,,,,,ed606f57-102e-4ae9-af22-6ab1fb9245b8,3390,,,"[70.2, 16.4]",3895052,85,,,,-0.4001117,,Right Foot,,,"[95.5, 5.7]",,Ground Pass,,27.46962,,,,,David Raum,12034.0,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Right Attacking Midfield,162,RB Leipzig,182,['34651d59-7483-4c2d-9015-1870f0dc0ed8'],46,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:46.740,Pass,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34651d59-7483-4c2d-9015-1870f0dc0ed8,3391,,,"[95.5, 5.7]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Raum,12034.0,Left Wing Back,162,RB Leipzig,182,['ed606f57-102e-4ae9-af22-6ab1fb9245b8'],48,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:48.420,Ball Receipt*,
2923,,,,,,"[108.3, 4.0]",,,,,,,,,,,,1.972168,,,,,,,,,,,,2e615ac6-35a1-4ef3-b6a6-634ad066bde0,3392,,,"[95.5, 5.7]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,David Raum,12034.0,Left Wing Back,162,RB Leipzig,182,"['34651d59-7483-4c2d-9015-1870f0dc0ed8', '6b58fb46-d7d9-403f-9a8e-fa19e98c7669']",48,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:48.420,Carry,
993,,,,,,,,,,,,,,,,,,1.268668,,,,,,,,,,,,6b58fb46-d7d9-403f-9a8e-fa19e98c7669,3393,,,"[108.3, 4.0]",3895052,85,,,,1.3740094,45109121-17a9-407d-ba6c-f4e3664b8e62,Left Foot,True,,"[114.6, 35.6]",,High Pass,,32.221886,,,,,Yussuf Yurary Poulsen,5536.0,True,,,,,2,Regular Play,David Raum,12034.0,Left Wing Back,162,RB Leipzig,182,['2d7b6cb7-2937-408b-b0dc-20251974e542'],50,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:50.393,Pass,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2d7b6cb7-2937-408b-b0dc-20251974e542,3394,,,"[114.6, 35.6]",3895052,85,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Yussuf Yurary Poulsen,5536.0,Center Forward,162,RB Leipzig,182,['6b58fb46-d7d9-403f-9a8e-fa19e98c7669'],51,,,,,,,,,,,,,,,,,RB Leipzig,182,00:40:51.621,Ball Receipt*,
