type,possession_team,player,position,player_id,pass_recipient,id,timestamp,location,pass_end_location,pass_length,pass_outcome
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Benjamin Henrichs,3997464c-8bb8-48c4-ba87-2c3428361a16,00:04:43.564,"[22.1, 60.3]","[28.9, 74.8]",16.015305,
Ball Receipt*,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,53051d4a-9f6c-484d-8b94-e11b91a1776b,00:04:44.461,"[28.9, 74.8]",,,
Carry,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,,d0e24332-4557-4964-a5c1-deeac13c4cbe,00:04:44.461,"[28.9, 74.8]",,,
Pass,RB Leipzig,Benjamin Henrichs,Right Back,8211.0,Mohamed Simakan,d93ea45f-d401-4624-9c71-e74e636938ed,00:04:45.819,"[29.1, 76.8]","[14.9, 68.3]",16.549622,
Ball Receipt*,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,3dee3e7a-bb98-48d5-b17d-f2453d85da21,00:04:47.093,"[14.9, 68.3]",,,
Carry,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,,436f8b9d-e733-48dd-95af-6c666d943323,00:04:47.093,"[14.9, 68.3]",,,
Pass,RB Leipzig,Mohamed Simakan,Right Center Back,30360.0,Janis Blaswich,37e539f8-e57d-400e-a028-1b737a77d139,00:04:47.796,"[14.1, 66.5]","[3.8, 47.4]",21.70023,
Ball Receipt*,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,222733d1-fdb8-480b-9174-93e35fa3d92f,00:04:48.924,"[3.8, 47.4]",,,
Carry,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,,c350d38a-9b8c-416a-8181-4da8385d50eb,00:04:48.924,"[3.8, 47.4]",,,
Pass,RB Leipzig,Janis Blaswich,Goalkeeper,15155.0,Willi Orban,ead8a0b1-660f-4b45-874d-ead74ba1bb2b,00:04:50.159,"[3.8, 43.4]","[14.1, 13.9]",31.246439,
Ball Receipt*,RB Leipzig,Willi Orban,Left Center Back,8509.0,,1ce34b94-abf5-4f2e-9b44-3e00cc340a28,00:04:52.279,"[14.1, 13.9]",,,
Carry,RB Leipzig,Willi Orban,Left Center Back,8509.0,,13188bbf-d36c-48e5-9b3e-47562b47ee30,00:04:52.279,"[14.1, 13.9]",,,
Pass,RB Leipzig,Willi Orban,Left Center Back,8509.0,David Raum,6c252943-c328-4a1c-93f1-b362b2f70c00,00:04:55.462,"[32.3, 16.9]","[43.6, 6.9]",15.0894,
Ball Receipt*,RB Leipzig,David Raum,Left Back,12034.0,,2b5fcfd5-b13d-4730-8cee-7fd1d0eae227,00:04:56.818,"[43.6, 6.9]",,,
Carry,RB Leipzig,David Raum,Left Back,12034.0,,0f494371-1412-4a1d-9500-8b0ec603ef04,00:04:56.818,"[43.6, 6.9]",,,
Pass,RB Leipzig,David Raum,Left Back,12034.0,Daniel Olmo Carvajal,77d3e3a4-500d-472f-bb4c-9d2c4bdf1415,00:04:57.746,"[49.8, 7.1]","[62.3, 14.5]",14.526183,Incomplete
Ball Receipt*,RB Leipzig,Daniel Olmo Carvajal,Left Center Forward,16532.0,,da6e321b-2781-4b97-b334-1e563ecebe3f,00:04:58.409,"[63.5, 16.3]",,,
